,HOME_LAST_GAME_OE,HOME_LAST_GAME_HOME_WIN_PCTG,HOME_NUM_REST_DAYS,HOME_LAST_GAME_AWAY_WIN_PCTG,HOME_LAST_GAME_TOTAL_WIN_PCTG,HOME_LAST_GAME_ROLLING_SCORING_MARGIN,HOME_LAST_GAME_ROLLING_OE,HOME_W,SEASON,AWAY_LAST_GAME_OE,AWAY_LAST_GAME_HOME_WIN_PCTG,AWAY_NUM_REST_DAYS,AWAY_LAST_GAME_AWAY_WIN_PCTG,AWAY_LAST_GAME_TOTAL_WIN_PCTG,AWAY_LAST_GAME_ROLLING_SCORING_MARGIN,AWAY_LAST_GAME_ROLLING_OE
37,0.5739130434782609,0.5882352941176471,2.0,0.4117647058823529,0.5,8.666666666666666,0.5943389613870163,0,2020-21,0.5272727272727272,0.47058823529411764,2.0,0.35294117647058826,0.4117647058823529,-1.3333333333333333,0.5748251748251748
38,0.5964912280701754,0.5625,2.0,0.4117647058823529,0.48484848484848486,10.0,0.5960170697012801,1,2020-21,0.5818181818181818,0.47058823529411764,2.0,0.375,0.42424242424242425,1.6666666666666667,0.5852537852537852
39,0.49572649572649574,0.3333333333333333,2.0,0.47058823529411764,0.40625,1.6666666666666667,0.5224311299077654,1,2020-21,0.6153846153846154,0.47058823529411764,2.0,0.4,0.4375,7.333333333333333,0.6045276045276045
40,0.5585585585585585,0.4375,1.0,0.4,0.41935483870967744,-1.6666666666666667,0.5749946374946374,1,2020-21,0.5660377358490566,0.6153846153846154,1.0,0.3888888888888889,0.4838709677419355,1.3333333333333333,0.56079035639413
41,0.5545454545454546,0.4375,2.0,0.2,0.3225806451612903,-21.333333333333332,0.5393078986299326,1,2020-21,0.6396396396396397,0.4375,2.0,0.42857142857142855,0.43333333333333335,1.3333333333333333,0.5926919464540824
42,0.5267857142857143,0.4,2.0,0.42857142857142855,0.41379310344827586,-5.0,0.5526813476199541,1,2020-21,0.6086956521739131,0.5714285714285714,2.0,0.5333333333333333,0.5517241379310345,0.6666666666666666,0.586072218128224
43,0.5486725663716814,0.5833333333333334,2.0,0.4375,0.5,-2.6666666666666665,0.5082658652742381,1,2020-21,0.6116504854368932,0.4,2.0,0.46153846153846156,0.42857142857142855,-5.0,0.5786364971216152
44,0.5462184873949579,0.6363636363636364,1.0,0.4375,0.5185185185185185,-2.0,0.4953750098170109,0,2020-21,0.5196078431372549,0.4,2.0,0.4166666666666667,0.4074074074074074,-11.333333333333334,0.5531155750753993
45,0.5945945945945946,0.5,2.0,0.4375,0.4642857142857143,12.666666666666666,0.5618276243276243,1,2020-21,0.6046511627906976,0.4,2.0,0.45454545454545453,0.4230769230769231,-8.0,0.574115859247039
46,0.5350877192982456,0.42857142857142855,1.0,0.45454545454545453,0.44,-0.3333333333333333,0.5753432494279175,0,2020-21,0.6306306306306306,0.4666666666666667,2.0,0.5454545454545454,0.5,-0.6666666666666666,0.5562916240882343
47,0.5826086956521739,0.46153846153846156,2.0,0.45454545454545453,0.4583333333333333,-3.6666666666666665,0.551526130873957,0,2020-21,0.4642857142857143,0.4666666666666667,3.0,0.7,0.56,-4.333333333333333,0.5039108618654073
48,0.6198347107438017,0.36363636363636365,2.0,0.5,0.44,-8.0,0.5813916017381627,1,2020-21,0.6083333333333333,0.46153846153846156,4.0,0.5,0.4782608695652174,-5.333333333333333,0.5616243075920494
49,0.4636363636363636,0.4166666666666667,2.0,0.5,0.45454545454545453,-11.666666666666666,0.5396374902662491,1,2020-21,0.6068376068376068,0.5454545454545454,1.0,0.36363636363636365,0.45454545454545453,11.333333333333334,0.5927553927553927
50,0.6129032258064516,0.45454545454545453,1.0,0.5,0.47619047619047616,0.6666666666666666,0.5613740870028459,0,2020-21,0.5545454545454546,0.8181818181818182,2.0,0.7,0.7619047619047619,6.666666666666667,0.5555682612286387
51,0.5423728813559322,0.5,2.0,0.5,0.5,1.3333333333333333,0.5592588040837554,0,2020-21,0.48623853211009177,0.25,2.0,0.46153846153846156,0.38095238095238093,-8.666666666666666,0.5260466097226616
52,0.5288461538461539,0.5555555555555556,3.0,0.5,0.5263157894736842,7.0,0.559420224584159,0,2020-21,0.5428571428571428,0.5,2.0,0.8461538461538461,0.7142857142857143,-5.0,0.544047619047619
53,0.5454545454545454,0.16666666666666666,2.0,0.25,0.21428571428571427,-19.0,0.5118486888398392,0,2020-21,0.6065573770491803,0.5555555555555556,2.0,0.4444444444444444,0.5,-3.0,0.5848925592670199
54,0.5428571428571428,0.625,1.0,0.4444444444444444,0.5294117647058824,4.333333333333333,0.5648055323493919,0,2020-21,0.5178571428571429,0.6923076923076923,2.0,0.3333333333333333,0.5789473684210527,1.6666666666666667,0.5690248447204969
55,0.6052631578947368,0.5714285714285714,2.0,0.4444444444444444,0.5,4.0,0.577305532349392,1,2020-21,0.5583333333333333,0.8,2.0,0.7142857142857143,0.7647058823529411,13.666666666666666,0.5608931264269046
56,0.5725806451612904,0.75,3.0,0.42857142857142855,0.6,-2.0,0.5671736307879355,1,2020-21,0.5462962962962963,0.5714285714285714,2.0,0.5,0.5333333333333333,12.333333333333334,0.5524742233075566
57,0.5169491525423728,0.2857142857142857,2.0,0.16666666666666666,0.23076923076923078,-7.666666666666667,0.5156602791158141,0,2020-21,0.5803571428571429,0.5714285714285714,2.0,0.42857142857142855,0.5,4.333333333333333,0.5470136345136346
58,0.5307692307692308,0.5,2.0,0.42857142857142855,0.46153846153846156,-6.333333333333333,0.5174501424501424,1,2020-21,0.543859649122807,0.2857142857142857,2.0,0.16666666666666666,0.23076923076923078,1.6666666666666667,0.55906432748538
59,0.5299145299145299,0.4,2.0,0.42857142857142855,0.4166666666666667,-4.0,0.5086686584474195,1,2020-21,0.5546218487394958,0.3333333333333333,5.0,0.2,0.2727272727272727,-2.0,0.5490566710144619
60,0.4485981308411215,0.5,2.0,0.6666666666666666,0.5833333333333334,-5.666666666666667,0.5361596550006652,1,2020-21,0.49166666666666664,0.4,1.0,0.5,0.45454545454545453,-4.666666666666667,0.5092076589864201
61,0.576271186440678,0.3333333333333333,3.0,0.75,0.6363636363636364,17.666666666666668,0.5755079038977344,1,2020-21,0.504424778761062,0.4,4.0,0.6,0.5,0.6666666666666666,0.5119854367641978
